campaign_id,platform,campaign_name,impressions,clicks,ctr,cpc,spend,sessions,date
CMP00001,Google AdWords,Google_Ads_Conversão_704,49905,1651.0,0.0331,4.95,1159.16,1471.0,27/06/2025
CMP00002,Google Ads,Google_Ads_Remarketing_814,21031,1051.0,0.05,4.81,1700.51,962.0,2025-08-11
CMP00003,google ads,Google_Ads_Conversão_487,32898,1075.0,0.0327,5.3,2271.55,1015.0,2025-09-26
CMP00004,Google Ads,Google_Ads_Conversão_489,20601,1023.0,0.0497,2.65,1106.48,923.0,2025-06-21
CMP00005,Google AdWords,Google_Ads_Black_Friday_267,25496,1267.0,0.0497,4.76,621.35,1179.0,2025-10-15
CMP00006,Google,Google_Ads_Natal_167,29252,1567.0,0.0536,5.06,1110.05,1382.0,2025-08-20
CMP00007,google ads,Google_Ads_Natal_864,33928,1859.0,0.0548,4.62,842.9,1656.0,2025-10-22
CMP00008,Google AdWords,Google_Ads_Branding_710,41392,1812.0,0.0438,4.99,3069.42,1616.0,2025-07-11
CMP00009,Google AdWords,Google_Ads_Verão_214,0,3632.0,0.0564,4.74,755.11,3453.0,2025-08-08
CMP00010,google ads,Google_Ads_Black_Friday_256,40806,2093.0,0.0513,4.18,729.87,1946.0,2025-11-11
CMP00011,Google Ads,Google_Ads_Awareness_346,47252,1847.0,0.0391,2.56,3280.21,1755.0,2025-08-18
CMP00012,Google Ads,Google_Ads_Branding_316,57846,2597.0,0.0449,2.92,2445.23,2482.0,2025-07-13
CMP00013,Google Ads,Google_Ads_Verão_121,52019,2507.0,4.82%,3.95,2004.49,2230.0,2025-07-28
CMP00014,Google AdWords,Google_Ads_Performance_319,23003,733.0,0.0319,2.6,1424.33,675.0,2025-08-11
CMP00015,Google,Google_Ads_Performance_984,38996,2051.0,0.0526,3.13,700.49,1875.0,2025-09-17
CMP00016,Google,Google_Ads_Remarketing_385,30236,1584.0,0.0524,2.86,993.93,1461.0,2025-07-06
CMP00017,Google Ads,Google_Ads_Branding_597,14416,452.0,0.0314,5.8,2991.69,432.0,31/07/2025
